0.2422,0.1504,0.6603
0.24755,0.15909,0.69126
0.25247,0.16955,0.71952
0.25711,0.18028,0.74715
0.26162,0.19048,0.7752
0.26591,0.20063,0.80302
0.26969,0.2114,0.82931
0.27293,0.22325,0.85305
0.27545,0.23615,0.87375
0.27753,0.24988,0.89198
0.27925,0.26397,0.90797
0.28033,0.27823,0.9221
0.28108,0.2925,0.93477
0.2814,0.30667,0.94614
0.28109,0.32073,0.95652
0.28045,0.33474,0.96576
0.27895,0.34865,0.97394
0.27681,0.36263,0.98115
0.27355,0.37684,0.98689
0.26922,0.39126,0.99112
0.26336,0.40599,0.99407
0.25525,0.42083,0.99658
0.24403,0.43583,0.99883
0.22962,0.4512,0.99926
0.21391,0.46707,0.99516
0.19839,0.48258,0.98985
0.187,0.49733,0.98447
0.18239,0.51135,0.97783
0.17938,0.52503,0.97051
0.17745,0.53852,0.96138
0.17615,0.55176,0.95043
0.17196,0.56474,0.93989
0.16325,0.57762,0.93086
0.154,0.5902,0.9218
0.14822,0.60235,0.91274
0.14434,0.61418,0.90458
0.13898,0.62595,0.89813
0.1311,0.63766,0.89253
0.12231,0.64917,0.8865
0.1137,0.66035,0.87885
0.10468,0.67112,0.86937
0.09337,0.68126,0.85805
0.077518,0.69085,0.84524
0.055755,0.69978,0.83126
0.029667,0.70817,0.81633
0.0096818,0.71603,0.80085
0.0014152,0.72336,0.78475
0.0048909,0.73026,0.76841
0.021991,0.73673,0.7516
0.053242,0.74279,0.73448
0.087164,0.74845,0.71704
0.11814,0.75386,0.69939
0.14423,0.75917,0.68162
0.16445,0.76458,0.66339
0.18039,0.7701,0.64472
0.19377,0.77577,0.6251
0.20748,0.78128,0.60451
0.2232,0.78654,0.58286
0.24365,0.79117,0.56005
0.26918,0.79506,0.53628
0.29961,0.79805,0.51176
0.33159,0.80028,0.48636
0.36337,0.80195,0.45951
0.39562,0.80295,0.43137
0.43011,0.80283,0.40295
0.46695,0.8015,0.3752
0.5044,0.7993,0.348
0.54102,0.79625,0.32048
0.57689,0.79266,0.29246
0.61236,0.78829,0.26504
0.64736,0.78326,0.23945
0.6817,0.77758,0.21652
0.71487,0.77161,0.19644
0.74717,0.76532,0.178
0.77821,0.75888,0.16277
0.80804,0.75246,0.1544
0.83628,0.74628,0.15436
0.86343,0.7406,0.15963
0.8894,0.73547,0.16909
0.91371,0.73147,0.18514
0.9362,0.72897,0.20665
0.95758,0.72846,0.22847
0.97853,0.73095,0.24239
0.99362,0.73981,0.24014
0.99714,0.75334,0.22937
0.99691,0.76795,0.21836
0.99594,0.78279,0.20734
0.99366,0.79795,0.19708
0.9892,0.81357,0.18853
0.98282,0.8295,0.18097
0.97535,0.84555,0.17316
0.96849,0.86158,0.16536
0.96345,0.87761,0.15828
0.96042,0.89353,0.15184
0.95952,0.90912,0.14461
0.96059,0.92441,0.13555
0.96325,0.93948,0.12487
0.96714,0.95432,0.11239
0.97191,0.96912,0.097427
0.9769,0.9839,0.0805
