frequencies,SPLs,Total,clarities,crests,SBs,CPPs,qdeltas,qcis
47,47,17,0.975187856938577,1.5461996818927917,-20.471041586334536,15.365267578075361,2.4870329487023506,0.4656133411061746
47,49,16,0.9773886318060531,1.5328697378008482,-22.737830239809753,14.365915430565167,2.075566703766786,0.454619726889343
47,51,15,0.9814544972532452,1.7283406759475888,-23.993515268311327,17.516988309673003,1.8894715826831736,0.42469435981579956
47,52,36,0.9819868223665105,1.546703619423466,-26.329791409001913,19.43413197085736,2.2288246296351133,0.46931321570871526
47,53,19,0.9784430039230632,1.48882197189222,-26.67401139132538,17.318608826195977,1.8087145747482876,0.48413267213288086
47,58,53,0.9795281681031287,1.8669893668433093,-29.23742178432304,21.46637729630175,3.8110785332814245,0.5437983408710957
47,59,63,0.9843446168267226,1.8102037435308156,-29.875696935978123,23.531534386539324,4.648011920938915,0.506013555219474
47,60,40,0.9824439460205853,1.8844834731904996,-29.67774191853093,23.27858178506624,5.408261668662262,0.491628047571649
47,61,16,0.9694938342879619,1.8202036366237917,-29.613718492417846,26.48194353377849,5.576453185813998,0.5133523331145818
47,62,25,0.9757059579730532,1.8891082543305722,-29.227247417927224,25.502478152013122,3.231311859136874,0.6096150555935131
47,63,76,0.9846892917852911,1.9402183716542136,-28.105721732176676,25.231129493376375,5.945454747665824,0.5806324564628834
47,64,11,0.9834586491230732,2.0350864511491293,-27.349626125925447,26.759566248028563,8.440647627991464,0.5858086967660312
47,65,14,0.9812689478530261,2.1613519509350825,-27.597313487369043,25.853490340919244,6.345606812627345,0.6131538667262225
47,66,7,0.9682398424183308,2.276806817764276,-26.6793566851768,24.796263028013364,7.184406745589347,0.38799929385982374
47,67,10,0.9784585208498954,2.2260314437352173,-27.57440557165838,27.373586064938948,6.134537726191069,0.35976952627199055
47,69,15,0.9831672578306214,2.4196697023160914,-24.81330939000615,27.264323094084364,7.955025540738764,0.37401720086265855
47,71,20,0.96793898853762,2.6228915352139612,-25.60576354665246,26.475504942924555,8.229399295485026,0.45973946153752077
47,79,15,0.9721281815965517,2.7516488655541247,-13.53980898692054,27.75381988132084,8.195425513038572,0.461760416245808
48,53,73,0.9829811181897132,1.5392479044896021,-26.47337178683751,17.343299317527567,2.0081917893038925,0.4628959624977307
48,54,16,0.9842904266893511,1.6489743757045527,-26.630290014008153,17.578057768404086,1.8539956774947153,0.43187861912249165
48,55,14,0.9849624788394219,1.7466702727973946,-28.173545878568063,18.569007647846433,3.0738127641752535,0.3889808345649515
48,56,14,0.9843080565314344,1.9061727586488622,-29.390795564211757,18.210754495530708,3.1202857371968746,0.3882500521792568
48,58,329,0.9824087340204688,1.7938469973559628,-29.492902878784424,22.067229403458324,3.332733638622642,0.5092468954171344
48,59,91,0.9838937763444996,1.8786649011160066,-29.77733048691803,23.178358694195804,3.910284781559031,0.5043188358977514
48,60,164,0.9818417370067033,1.7741688150507444,-30.090444628650676,23.326942367325643,3.6066596386940684,0.46389904420008815
48,61,68,0.9777219267899792,1.82100359996508,-29.407592310366304,23.79676324135554,3.3722879086619493,0.47274533680503533
48,62,15,0.9728342985001892,1.84212689736173,-28.99125579989432,26.89224892807617,6.166272464635022,0.5482764472293944
48,63,39,0.9800970506043004,1.8734901636999526,-27.47789767541944,25.47744118546572,5.368340203039395,0.4983903433261583
48,64,62,0.9843679818507048,1.8395301014473908,-26.99822210132506,26.246687962460587,5.535930332014272,0.3938780749874517
48,65,9,0.9833139499545699,2.1726692325125776,-25.824624711306242,26.662584341601274,5.830265285495432,0.38576532961386706
48,66,12,0.9752066224339079,2.0787714111785585,-25.817218401023105,26.018293714451026,7.6804941386638435,0.5798710744032112
48,69,12,0.9773487359020762,2.409798659292026,-23.20217668599954,27.69968647890945,10.593003181904002,0.5583550065324938
48,70,48,0.9701522742724762,2.327858060249858,-24.590396407747008,25.60520323516672,6.897288466772163,0.41510392676977814
48,71,19,0.9726057858655859,2.5127384420247454,-23.344330270555933,27.79978900055774,9.658356726011561,0.4734328474700207
48,72,12,0.9650723246388346,2.8193478139309316,-22.1167238908225,25.649194423232313,12.122515779635828,0.41657898449002684
48,73,7,0.9757425987978783,2.86167238374494,-22.0352772973162,27.93765616157077,11.404686125697385,0.4284783516077829
48,74,6,0.9665788854763196,2.8256046617985056,-20.743523241173683,27.47982120132164,12.192607300297787,0.421927587753325
48,75,6,0.9822209335332506,2.703763545487373,-20.08734595855966,28.965029383657317,11.703286341007157,0.45915832450837996
48,76,9,0.9828248999716294,2.7767304362634686,-19.168578098024156,30.385679180249568,12.105735132184874,0.5032453111409885
48,78,27,0.9702666374297352,2.659295741263039,-15.413999447641162,29.253879208524506,7.706152830701712,0.4308138937475337
48,79,38,0.9682138672503513,2.5895319239203127,-13.966584818391931,28.931852093445837,7.272905574421895,0.48248248205498934
48,80,140,0.972713106821456,2.7880296596885272,-13.284438087480856,27.82196550648256,7.892127303169912,0.4681084983980993
49,70,12,0.9827421497198239,2.1300833768583494,-24.39077644762577,26.996173271052633,6.147936978360286,0.3805059054785726
49,79,17,0.9745719168678333,2.1452554343145542,-14.332905937517516,30.998216415798886,3.3693205732706852,0.48053969080967984
49,80,17,0.971007657647193,2.0946819362636173,-13.84087142367217,28.295039405376635,2.9005266237727874,0.5316057873135973
50,46,22,0.9732855345276527,1.5206807889844105,-18.80017462106528,16.35989571979055,2.161764455621542,0.49844024130470016
50,48,92,0.9828594545608627,1.5046227656710185,-21.536999300987656,15.945478567274316,1.802157477412836,0.49400464074472117
50,49,44,0.9838051550719857,1.5275450445002268,-22.233434271440668,16.044224773132083,1.4570181166017449,0.49452432585527256
50,50,60,0.9847623130344966,1.5809883736953259,-23.54062439524334,16.770473495454034,1.651612994844891,0.48903155381047514
50,51,31,0.9871025505466596,1.5919973455721361,-24.302652223028048,17.416312137469504,1.5628959589871896,0.4847254932772875
50,52,50,0.9865668519685301,1.6170677448818218,-25.280759232952562,17.085656373145703,1.7855749092331465,0.4867315897743775
50,53,63,0.9864234352940823,1.639701586505248,-26.558421751648176,17.465322617661123,2.078023257008016,0.47383329345621455
50,54,73,0.9871421264009197,1.6565192086154625,-28.034737916060827,19.482757865313168,2.158282155834283,0.4642109902354261
50,55,115,0.9878055109256761,1.7245890032418987,-28.76811902062158,19.082792655590374,2.42972568135252,0.45930736740155376
50,56,38,0.9883442107775321,1.7364578592855058,-29.409495363604933,18.796930897932267,1.8303238490922646,0.4624135652900168
50,57,38,0.9864157672853177,1.799898856291505,-30.438410475420554,18.98594966938902,3.006391031246262,0.4003745961078615
50,58,113,0.9840184178268871,1.7514912718473559,-31.322195678146834,20.18477905862702,3.0272776921566065,0.39821921353374773
50,59,131,0.9797560506532521,1.6912719069845044,-31.51761407454726,21.863821832784243,2.768387886931296,0.4189946012647036
50,60,264,0.9832646600872627,1.7529056178401927,-31.857528624451735,23.214488218478202,3.143719387045196,0.4143850668892042
50,61,53,0.9862436535899377,1.7917888466526193,-31.51346108129685,23.499286503866244,3.2501894514832985,0.41536478615419
50,62,70,0.9858527114205575,1.8029081661376616,-32.41478885284857,23.674177763766874,3.428023217601632,0.40545219791125503
50,63,57,0.9891465098901454,1.8824889945928724,-31.41366089464148,23.679712000373648,3.6757551863807842,0.4092025081734345
50,64,22,0.9891091349214113,1.8371246291094807,-30.71998953805989,23.3610867317154,4.068522624556589,0.40515789847856376
50,65,62,0.9857968100636866,1.898841595805918,-30.05928977305963,25.08823193875016,4.696514261428326,0.4057380743930265
50,66,105,0.9773768721839671,2.0355472728992443,-29.750112454633673,26.122591737275254,4.621318181703934,0.3907019640620826
50,67,105,0.9843339744459546,2.08353120033089,-27.6568879852136,26.754975360841883,5.196858302637587,0.37500937833879205
50,68,116,0.9852012834583592,2.0722019926686346,-26.05893898826825,26.917976129594788,5.287644947365681,0.361807067228767
50,69,75,0.9851789178602179,2.055256779292735,-24.81180541588755,27.12760746970271,5.698125391112977,0.3632766552106205
50,70,13,0.9892000914763416,2.1702991107734624,-22.449901200264456,27.63604643250018,5.233218160791722,0.3863100177796945
50,71,38,0.9813852599286434,2.2026130721929995,-23.102511559594365,27.816171743105112,6.484546564896785,0.40064943135611336
50,72,25,0.9887543525408367,2.1965711159851997,-22.50319817836082,28.58187508763093,6.4613389739335165,0.4119095510834507
50,73,65,0.9811752821579386,2.1957212553337118,-22.048585778887265,29.007156278081585,6.63341526276007,0.4537846854292441
50,74,40,0.9861156178470778,2.202738678238335,-21.169869296416014,29.969099875776624,6.391279440668462,0.47239677198186686
50,75,51,0.9819587040588877,2.245711679613537,-20.57513914642763,29.769929081511577,7.197090361636501,0.44420787366792325
50,76,26,0.975600490003729,2.1815104393039704,-19.41376133995238,30.080834181713424,7.511548933871475,0.44791161095333265
50,77,19,0.9800615204204857,2.527430297328312,-17.875775208383338,31.557094220995587,10.174495479206412,0.42271259625294455
