MIDI,dB,Total,Clarity,Crest,SpecBal,CPP,Entropy,dEGGmax,Qcontact,Icontact,HRFegg,maxCluster,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,maxCPhon,cPhon 1,cPhon 2,cPhon 3,cPhon 4,cPhon 5,cPhon 6
48,73,7,0.975742599,2.861672384,-22.0352773,27.93765616,3.99399,11.40468613,0.428478352,0.02716,-42.46001,5,0,0,0,0,5,6,0,0,0,0,0,5
48,74,6,0.966578885,2.825604662,-20.74352324,27.4798212,8.24159,12.1926073,0.421927588,0.06643,-38.21487,5,0,0,0,0,23,6,0,0,0,0,0,23
48,75,6,0.982220934,2.703763545,-20.08734596,28.96502938,6.20458,11.70328634,0.459158325,0.05223,-36.38093,5,0,0,0,0,3,6,0,0,0,0,0,3
48,76,9,0.9828249,2.776730436,-19.1685781,30.38567918,1.09423,12.10573513,0.503245311,0.14872,-6.72976,3,0,0,3,0,2,3,0,0,4,0,1,0
48,78,27,0.970266637,2.659295741,-15.41399945,29.25387921,2.7799,7.706152831,0.430813894,0.02982,-17.91518,5,0,0,0,0,4,6,0,0,0,0,0,4
48,79,38,0.968213867,2.589531924,-13.96658482,28.93185209,5.61889,7.272905574,0.482482482,0.05914,-28.54711,5,0,0,0,0,18,6,0,0,0,0,0,18
48,80,140,0.972713107,2.78802966,-13.28443809,27.82196551,3.27348,7.892127303,0.468108498,0.01352,-19.7088,5,0,0,0,0,2,6,0,0,0,0,0,2
49,70,12,0.98274215,2.130083377,-24.39077645,26.99617327,6.0536,6.147936978,0.380505905,0.04626,-18.10679,5,0,0,3,0,9,6,0,0,0,0,0,12
49,79,17,0.974571917,2.145255434,-14.33290594,30.99821642,5.17863,3.369320573,0.480539691,0.00746,-25.43996,5,0,0,0,0,38,6,0,0,0,0,0,38
49,80,17,0.971007658,2.094681936,-13.84087142,28.29503941,4.01786,2.900526624,0.531605787,0.00461,-24.66414,5,0,0,0,0,3,6,0,0,0,0,0,3
50,46,22,0.973285535,1.520680789,-18.80017462,16.35989572,4.71053,2.161764456,0.498440241,0.02375,-40.52127,5,0,0,0,0,1,6,0,0,0,0,0,1
50,48,92,0.982859455,1.504622766,-21.5369993,15.94547857,6.86519,1.802157477,0.494004641,0.04545,-38.17986,5,0,0,0,0,11,6,0,0,0,0,0,11
50,49,44,0.983805155,1.527545045,-22.23343427,16.04422477,5.92978,1.457018117,0.494524326,0.17011,8.01745,1,1,0,0,0,0,6,0,0,0,0,0,1
50,50,60,0.984762313,1.580988374,-23.5406244,16.7704735,5.33883,1.651612995,0.489031554,0.0648,-37.19371,5,0,0,0,0,3,6,0,0,0,0,0,3
50,51,31,0.987102551,1.591997346,-24.30265222,17.41631214,2.51955,1.562895959,0.484725493,0.12067,-7.22056,3,0,0,1,0,1,5,0,0,0,0,1,1
50,52,50,0.986566852,1.617067745,-25.28075923,17.08565637,2.50151,1.785574909,0.48673159,0.04669,-16.6662,5,0,0,0,0,5,6,0,0,0,0,0,5
