frequencies,SPLs,Total,clarities,crests,SBs,CPPs,qdeltas,qcis
50,63,34,0.98914651,2.045990733,-31.41366089,23.679712,5.772827931,0.352416247
50,64,13,0.989109135,2.047200195,-30.71998954,23.36108673,5.988991385,0.372713194
50,65,33,0.98579681,2.105318896,-30.05928977,25.08823194,7.342241317,0.327764165
50,66,48,0.977376872,2.209119152,-29.75011245,26.12259174,8.305263959,0.320732397
50,67,52,0.984333974,2.321270752,-27.65688799,26.75497536,8.562261047,0.338066012
50,68,59,0.985201283,2.311492267,-26.05893899,26.91797613,9.126466417,0.35414351
50,69,41,0.985178918,2.347064355,-24.81180542,27.12760747,9.380948635,0.370933125
50,70,6,0.989200091,2.568870263,-22.4499012,27.63604643,8.752080911,0.343385745
50,71,20,0.98138526,2.629539425,-23.10251156,27.81617174,10.33994815,0.367077079
50,72,14,0.988754353,2.628385873,-22.50319818,28.58187509,10.8868294,0.369466781
50,73,33,0.981175282,2.698408445,-22.04858578,29.00715628,11.05308966,0.388911028
50,74,20,0.986115618,2.739956683,-21.1698693,29.96909988,11.17658864,0.396329606
50,75,26,0.981958704,2.802018254,-20.57513915,29.76992908,11.67025708,0.399621245
50,76,14,0.97560049,2.859118755,-19.41376134,30.08083418,11.83176759,0.40679676
50,77,13,0.98006152,3.016560951,-17.87577521,31.55709422,12.4495088,0.408869859
50,78,61,0.980986739,3.010580357,-16.46004856,30.6835333,13.81683507,0.397900248
50,79,46,0.976300314,3.103469854,-15.26361418,30.21095655,14.23899959,0.409643261
50,80,66,0.978476705,3.132539569,-13.769788,29.83988548,12.63322915,0.442471033
50,81,33,0.968918645,3.163206718,-13.46740457,29.30979221,12.50169699,0.456619778
50,82,34,0.975266533,3.13580076,-11.57492476,30.41381326,11.46345548,0.477274395
51,56,7,0.971697655,1.642098337,-29.10388218,18.3871493,2.200385914,0.463319916
51,57,8,0.970802349,1.677169411,-27.50489379,21.4137879,2.338293863,0.465975621
51,63,7,0.981923845,2.014142168,-22.47496046,27.36696519,11.95548989,0.362979105
51,64,15,0.97781935,2.055207059,-24.23473094,26.5983143,8.862410073,0.356289713
51,65,7,0.979523472,2.435892101,-23.16421485,26.55744346,12.71175608,0.380643873
51,66,15,0.97931608,2.629507979,-29.04244517,25.31343202,10.17543756,0.301416503
51,67,7,0.984535101,2.547366954,-23.22583225,26.67913308,11.77720873,0.397857518
51,68,14,0.981441754,2.484799835,-25.35810176,27.31939614,10.44017954,0.310544593
