MIDI;dB
47;47
47;50
47;51
47;52
47;53
47;54
48;45
48;46
48;50
48;52
48;53
51;50
51;55
51;56
51;57
51;58
51;59
52;45
52;46
52;47
52;48
52;49
52;50
52;51
52;52
52;53
52;54
52;55
52;56
52;57
52;58
52;59
52;60
53;60
55;51
55;53
55;54
55;55
56;48
56;49
56;59
56;60
56;61
56;62
56;63
57;53
59;52
59;53
59;54
59;55
59;56
59;57
59;58
59;59
59;60
59;61
59;62
59;63
59;64
59;65
59;66
59;67
59;68
60;51
60;53
61;67
62;67
