MIDI;dB;Total;Clarity;Crest;SpecBal;CPP;Entropy;dEGGmax;Qcontact;Icontact;HRFegg;maxCluster;Cluster 1;Cluster 2;Cluster 3;Cluster 4;Cluster 5;maxCPhon;cPhon 1;cPhon 2;cPhon 3;cPhon 4;cPhon 5
48;52;12;0.476042;2.95675;-15.6043;28.5512;0;11.3589;0.425753;0.2209;-10.208;1;3;0;0;0;0;4;0;1;0;2;0
48;53;6;0.477978;2.98263;-14.6144;26.2292;0;11.779;0.440157;0.21893;-11.0596;1;13;0;0;0;0;4;0;1;0;12;0
49;40;39;0.484162;1.99042;-30.8382;22.2931;0;7.15219;0.349178;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;40;270;0.482782;1.91318;-31.1089;21.2264;0;5.79359;0.318026;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;40;276;0.486239;2.03968;-29.7101;20.6402;0;5.40552;0.383356;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;41;58;0.49059;2.5595;-25.3795;26.9029;0;10.3544;0.314525;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;42;7;0.490941;2.65507;-25.9891;27.0931;0;9.09592;0.30114;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;43;7;0.484826;2.54116;-21.7495;26.5361;0;11.2652;0.405131;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;44;38;0.474898;2.3493;-22.6131;25.3179;0;10.9575;0.37708;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;45;14;0.491502;2.49896;-22.6891;28.335;0;10.9026;0.368008;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;46;8;0.491903;2.48016;-21.4521;30.5326;0;11.1813;0.407837;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;47;14;0.492181;2.53708;-21.5621;28.0509;0;11.5793;0.395868;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;48;23;0.486343;2.66411;-21.5756;28.6726;0;12.1965;0.433187;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;49;22;0.4904;2.56444;-20.8983;28.6278;0;13.5002;0.407315;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;50;14;0.493648;2.63766;-19.9166;29.9238;0;13.1096;0.398505;0.31578;-14.4599;1;4;0;0;0;0;4;0;0;0;4;0
51;51;8;0.493888;2.76126;-19.6709;31.7034;0;12.9332;0.40137;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;52;29;0.478701;2.86333;-18.7044;28.0081;0;12.8236;0.422183;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;53;22;0.479983;2.89099;-17.702;29.4249;0;11.6709;0.439078;0;0;0;0;0;0;0;0;0;0;0;0;0;0
